id,brand,model,type,resolution_label,megapixels,sensor,field_of_view_deg,night_vision_type,ip_rating,ik_rating,two_way_audio,release_year,community_notes_count
3xlogic-va-2mb-od-riwh,3xLOGIC,VA-2MB-OD-RIWH-02,bullet,2MP (1920x1080),2,"Panasonic 1/3"" CMOS","86 horizontal, 46.8 vertical, 99.8 diagonal",ir,IP66,IK09,,,0
3xlogic-va-2md-od-riwh,3xLOGIC,VA-2MD-OD-RIWH-02,dome,2MP (1920x1080),2,"Panasonic 1/3"" CMOS","86 horizontal, 46.8 vertical, 99.8 diagonal",ir,IP66,IK10,,,0
3xlogic-vx-10m28-dual-od-iaw,3xLOGIC,VX-10M28-DUAL-OD-IAW,dual-lens,"10MP (2x 5MP, 2592x1944 per sensor)",10,"2x 1/2.8"" 5.69M CMOS","2.8mm: 102.4 horizontal, 77.4 vertical, 125.5 diagonal; 4mm: 82.3 horizontal, 58.8 vertical, 106.6 diagonal",ir,IP67,IK10,true,,0
3xlogic-vx-12m-360-iaw,3xLOGIC,VX-12M-360-IAW,fisheye,12MP (4000x3000),12,"1/2.3"" 12.93M CMOS",360 panoramic,ir,IP67,IK10,true,,0
3xlogic-vx-20m-surround-od-raw,3xLOGIC,VX-20M-SURROUND-OD-RAW,panoramic,"20MP (4x 5MP, 2592x1944 per sensor)",20,"4x 1/2.8"" 5M CMOS (Sony Starvis Exmor)",51 to 93 horizontal (per sensor),none,IP67,IK10,true,,0
3xlogic-vx-20m-surround-od-riaw,3xLOGIC,VX-20M-SURROUND-OD-RIAW,panoramic,"20MP (4x 5MP, 2592x1944 per sensor)",20,"4x 1/2.8"" 5.69M CMOS",51 to 93 horizontal (per sensor),ir,IP67,IK10,true,,0
3xlogic-vx-2m-id-riaw,3xLOGIC,VX-2M-ID-RIAW,dome,2MP (1920x1080),2,"1/2.8"" 2.1M CMOS (Sony Starvis)",35 to 96 horizontal,ir,,,true,,0
3xlogic-vx-2m-od-riaw,3xLOGIC,VX-2M-OD-RIAW,dome,2MP (1920x1080),2,"1/2.8"" 2.1M CMOS (Sony Starvis)",35 to 96 horizontal,ir,IP67,IK10,true,,0
3xlogic-vx-2m-od-riawh,3xLOGIC,VX-2M-OD-RIAWH,dome,2MP (1920x1080),2,"1/2.8"" 2.1M CMOS (Sony Starvis)","35 to 96 horizontal, 20 to 51 vertical, 41 to 113 diagonal",ir,IP68,IK10,,,0
3xlogic-vx-2s-op-30x,3xLOGIC,VX-2S-OP-30X-IAW,ptz,2MP (1920x1080),2,"1/2.8"" 2.4M CMOS","2.11-58.9 horizontal, 1.61-45.3 vertical, 2.58-71.3 diagonal",ir,IP66,IK10,true,,0
3xlogic-vx-5m-b-riaw,3xLOGIC,VX-5M-B-RIAW,bullet,5MP (2592x1944),5,"1/2.8"" 5.14M CMOS (Sony Starvis)",31.6 to 98.3 horizontal,ir,IP67,IK10,true,,0
3xlogic-vx-5m-ob-cl-riaw,3xLOGIC,VX-5M-OB-CL-RIAW,bullet,5MP,5,"1/2.8"" 5.17M (STV2) CMOS",31.6 to 98.3 horizontal,hybrid,IP66,IK10,true,,0
3xlogic-vx-5m-od-riaw,3xLOGIC,VX-5M-OD-RIAW,dome,5MP (2592x1944),5,"1/2.8"" 5.14M CMOS (Sony Starvis)",31.6 to 98.3 horizontal,ir,IP67,IK10,true,,0
3xlogic-vx-5m-ot-cl-raw,3xLOGIC,VX-5M-OT-CL-RAW,turret,5MP,5,"1/2.8"" 5.17M (STV2) CMOS",31.5 to 89.9 horizontal,color,IP67,IK10,true,,0
3xlogic-vx-5m-ot-riw,3xLOGIC,VX-5M-OT-RIW,turret,5MP,5,"1/2.8"" 5.69M CMOS",31 to 85 horizontal,ir,IP67,IK10,,,0
3xlogic-vx-5m20-b-rial,3xLOGIC,VX-5M20-B-RIAL,bullet,5MP (2592x1944),5,"1/2.8"" 5.14M CMOS (Sony Starvis)",6.9 to 40.8 horizontal,ir,IP67,IK09,true,,0
3xlogic-vx-5m20-b-riaw,3xLOGIC,VX-5M20-B-RIAW,bullet,5MP (2592x1944),5,"1/2.8"" 5.14M CMOS (Sony Starvis)",6.7 to 44.8 horizontal,ir,IP67,IK09,true,,0
3xlogic-vx-5m28-md-iaw,3xLOGIC,VX-5M28-MD-IAW,dome,5MP (2592x1944),5,"1/2.8"" 5.14M CMOS (Sony Starvis)","102.4 horizontal, 77.4 vertical, 125.5 diagonal",ir,IP67,IK10,,,0
3xlogic-vx-5m28-ot-iw,3xLOGIC,VX-5M28-OT-IW,turret,5MP,5,"1/2.8"" CMOS",103 horizontal,ir,IP67,IK10,,,0
3xlogic-vx-5m4-mb-iw,3xLOGIC,VX-5M4-MB-IW,bullet,5MP,5,"1/2.8"" 5.14M CMOS (Sony Starvis)",81 horizontal,ir,IP67,,,,0
